Time,susceptible_lambda_H
0,0
0.25,0
0.5,181.535
0.75,260.777
1,224.755
1.25,217.133
1.5,241.183
1.75,174.995
2,155.067
2.25,142.973
2.5,191.176
2.75,137.834
3,150.824
3.25,175.316
3.5,168.477
3.75,152.264
4,180.044
4.25,169.667
4.5,246.31
4.75,234.55
5,255.826
5.25,221.473
5.5,199.13
5.75,236.66
6,201.958
6.25,231.685
6.5,228.297
6.75,191.434
7,241.225
7.25,351.096
7.5,311.824
7.75,298.312
8,340.73
8.25,435.097
8.5,404.238
8.75,493.12
9,453.019
9.25,453.119
9.5,428.653
9.75,436.639
10,575.479
10.25,508.594
10.5,538.836
10.75,569.74
11,644.059
11.25,710.343
11.5,748.786
11.75,825.868
12,928.28
12.25,795.077
12.5,879.266
12.75,954.491
13,1035.04
13.25,1035.37
13.5,1148.02
13.75,1099.56
14,1127.24
14.25,1201.63
14.5,1239.63
14.75,1338.56
15,1483.13
15.25,1626.58
15.5,1610.42
15.75,1659.27
16,1596.2
16.25,1696.42
16.5,1760.04
16.75,2064.22
17,1968.41
17.25,1974.85
17.5,1796.45
17.75,2117.74
18,2020.97
18.25,2462.4
18.5,2339.11
18.75,2517.63
19,2386.69
19.25,2761.92
19.5,2753.91
19.75,3170.96
20,3183.55
20.25,3230.34
20.5,3479.85
20.75,3919.83
21,3799.59
21.25,3986.11
21.5,4010.57
21.75,4276.23
22,4526.6
22.25,4820.67
22.5,4790.91
22.75,4987.82
23,5324.46
23.25,5548.24
23.5,5876.56
23.75,6012.94
24,6511.81
24.25,6745.87
24.5,6819.36
24.75,7176.75
25,7710.59
25.25,7844.69
25.5,8368.02
25.75,8591.36
26,9070.72
26.25,9086.39
26.5,9857.41
26.75,10272.6
27,10840.8
27.25,10979.5
27.5,11213.1
27.75,11955.6
28,12617.6
28.25,12903.2
28.5,13707.2
28.75,13752.4
29,14315.7
29.25,15099.9
29.5,15591.3
29.75,16857.1
30,17768.9
30.25,18057.3
30.5,18297.7
30.75,19409.9
31,20296.2
31.25,20878.1
31.5,21702.8
31.75,22638
32,23414.1
32.25,24762.1
32.5,25423.9
32.75,26366.8
33,26943.3
33.25,28969.7
33.5,30089.4
33.75,30980
34,32196.6
34.25,33527.1
34.5,34723.3
34.75,35620.6
35,37809.3
35.25,38959
35.5,40858
35.75,42582.9
36,43965.7
36.25,45004.4
36.5,46489.8
36.75,48259.2
37,49837.8
37.25,51847
37.5,54427
37.75,56124.8
38,57126.4
38.25,60784.2
38.5,60859.7
38.75,62583.7
39,65147.4
39.25,67060.6
39.5,69389.8
39.75,71127.6
40,73292.6
40.25,75210
40.5,76526.7
40.75,79472.3
41,81152.2
41.25,82727.6
41.5,85109.5
41.75,86947.7
42,87926.5
42.25,89845.9
42.5,92231.3
42.75,94686.2
43,95426.1
43.25,98609.7
43.5,101350
43.75,102175
44,103037
44.25,105129
44.5,106280
44.75,107012
45,107948
45.25,108936
45.5,110959
45.75,112734
46,113131
46.25,113623
46.5,114010
46.75,115148
47,115728
47.25,116394
47.5,117550
47.75,117481
48,115885
48.25,116334
48.5,116207
48.75,116854
49,117181
49.25,116256
49.5,116573
49.75,115559
50,114509
50.25,113579
50.5,111798
50.75,111532
51,110468
51.25,109063
51.5,108208
51.75,105920
52,104165
52.25,103976
52.5,102185
52.75,100399
53,99251.7
53.25,97575.9
53.5,96141
53.75,95251.5
54,91598.5
54.25,91312.7
54.5,88689.2
54.75,88619.2
55,85607.6
55.25,82608.7
55.5,81899
55.75,80260.5
56,78329.6
56.25,75956.3
56.5,74898.7
56.75,72476.5
57,71710.8
57.25,69264.5
57.5,66869.8
57.75,65804.9
58,65032.8
58.25,63234.6
58.5,60609.1
58.75,58988.7
59,57816.3
59.25,56709.2
59.5,55228.1
59.75,53543.8
60,51624.5
60.25,49508.4
60.5,48075.4
60.75,46917.4
61,45605.9
61.25,43823.7
61.5,42931.8
61.75,41579.9
62,40936.5
62.25,39224.2
62.5,37254.3
62.75,36225.8
63,35043.3
63.25,34851
63.5,33731.7
63.75,32761.5
64,31285.4
64.25,30495.6
64.5,29230.2
64.75,28801.1
65,27814.3
65.25,26439.3
65.5,26158
65.75,25300.4
66,23884.7
66.25,23552.8
66.5,22254.7
66.75,21927.3
67,20857.6
67.25,20605.7
67.5,20085.7
67.75,18493
68,18369.5
68.25,17934.3
68.5,16496.4
68.75,16326.7
69,15723.6
69.25,14883.4
69.5,14686
69.75,14300
70,13953.2
70.25,13273.4
70.5,12630.6
70.75,12518.1
71,11657.3
71.25,11356.7
71.5,10834.4
71.75,10626.6
72,10481.4
72.25,9866.05
72.5,9569.1
72.75,9362.8
73,9155.52
73.25,8639.94
73.5,8428.57
73.75,7911.71
74,7731.18
74.25,7697.19
74.5,7267.14
74.75,6952.61
75,6679.45
75.25,6613.42
75.5,6190.82
75.75,6050.45
76,5914.34
76.25,5722.81
76.5,5474.78
76.75,5208.7
77,5023.89
77.25,4952.05
77.5,4751.02
77.75,4535
78,4268.32
78.25,4062.85
78.5,3889
78.75,3858.32
79,3887.58
79.25,3939.36
79.5,3576.42
79.75,3415.42
80,3526.41
80.25,3230.77
80.5,3126.46
80.75,2896.73
81,2875.33
81.25,2860.19
81.5,2728.71
81.75,2600.14
82,2441.32
82.25,2307.1
82.5,2356.73
82.75,2402.63
83,2261.57
83.25,2186.35
83.5,2104.02
83.75,1974.47
84,1912.99
84.25,1912.93
84.5,1828.65
84.75,1753.18
85,1700.87
85.25,1666.1
85.5,1592.37
85.75,1636.07
86,1614.8
86.25,1437.89
86.5,1385.64
86.75,1286.14
87,1372.92
87.25,1243.43
87.5,1222.88
87.75,1258.19
88,1231.77
88.25,1154.14
88.5,1024.45
88.75,981.902
89,982.899
89.25,954.515
89.5,970.196
89.75,923.113
90,872.151
90.25,828.117
90.5,863.611
90.75,802.398
91,888.945
91.25,786.28
91.5,667.31
91.75,656.49
92,680.361
92.25,648.111
92.5,570.42
92.75,630.957
93,606.2
93.25,541.548
93.5,539.725
93.75,496.891
94,525.701
94.25,525.718
94.5,518.887
94.75,501.726
95,488.925
95.25,422.272
95.5,450.708
95.75,391.121
96,380.201
96.25,371.087
96.5,362.167
96.75,312.785
97,306.475
97.25,318.336
97.5,307.531
97.75,318.962
98,339.174
98.25,288.428
98.5,308.223
98.75,313.53
99,275.356
99.25,258.77
99.5,273.583
99.75,239.485
100,240.344
100.25,274.021
100.5,221.034
100.75,217.733
101,282.677
101.25,259.868
101.5,182.873
101.75,184.371
102,198.742
102.25,151.736
102.5,207.034
102.75,135.607
103,146.304
103.25,173.387
103.5,128.666
103.75,183.199
104,119.884
104.25,143.133
104.5,170.65
104.75,142.526
105,108.516
105.25,91.9539
105.5,118.699
105.75,102.836
106,69.8557
106.25,114.059
106.5,96.4954
106.75,85.195
107,85.5249
107.25,104.715
107.5,92.8614
107.75,82.5536
108,63.6251
108.25,80.0419
108.5,94.3708
108.75,68.2297
109,63.6045
109.25,70.3434
109.5,50.0659
109.75,76.9211
110,89.5258
110.25,70.0888
110.5,77.8767
110.75,73.6841
111,55.6319
111.25,49.8659
111.5,62.2057
111.75,41.4541
112,37.6966
112.25,43.8085
112.5,64.8595
112.75,50.9545
113,34.0407
113.25,35.3567
113.5,38.2672
113.75,34.4293
114,36.7479
114.25,81.2949
114.5,51.2149
114.75,40.8128
115,35.2865
115.25,34.7699
115.5,36.9493
115.75,32.7692
116,33.1351
116.25,35.7072
116.5,26.2768
116.75,23.8139
117,20.4282
117.25,27.2322
117.5,15.8058
117.75,19.989
118,22.8051
118.25,18.7015
118.5,36.2166
118.75,14.6597
119,13.9516
119.25,10.5907
119.5,8.36972
119.75,7.36397
120,4.73495
120.25,5.29329
120.5,5.41947
120.75,14.6656
121,11.0992
121.25,27.8797
121.5,23.4378
121.75,6.08232
122,7.84903
122.25,7.97781
122.5,6.9205
122.75,3.78516
123,3.76919
123.25,4.42205
123.5,6.49298
123.75,16.6052
124,9.40868
124.25,5.5631
124.5,15.8509
124.75,9.40472
125,4.01361
125.25,17.9706
125.5,12.3215
125.75,7.45368
126,4.97489
126.25,5.83148
126.5,6.00402
126.75,5.67565
127,4.42316
127.25,6.72627
127.5,4.08167
127.75,3.67729
128,2.15614
128.25,4.33583
128.5,1.74124
128.75,6.26626
129,4.33448
129.25,7.38538
129.5,2.37406
129.75,2.02348
130,5.19418
130.25,4.83349
130.5,4.54437
130.75,4.90468
131,5.40425
131.25,5.10806
131.5,5.8979
131.75,4.84077
132,26.4801
132.25,1.6194
132.5,5.47391
132.75,5.01577
133,0.981584
133.25,0.944404
133.5,0.831382
133.75,0.831519
134,0.825801
134.25,1.36603
134.5,3.66356
134.75,3.6642
135,1.46943
135.25,1.73954
135.5,1.41891
135.75,4.75739
136,1.56451
136.25,0.754166
136.5,0.648142
136.75,0.739696
137,0.622934
137.25,0.622934
137.5,0.550807
137.75,0.279509
138,0.917895
138.25,0.917895
138.5,0.916622
138.75,3.58172
139,2.94334
139.25,0.162931
139.5,0.162931
139.75,0.162931
140,0.165505
140.25,0.239655
140.5,0.239655
140.75,0.231807
141,0.231807
141.25,0.0850591
141.5,0.0149411
141.75,0.0642777
142,0.0892481
142.25,0.0892481
142.5,0.0891245
142.75,0.0787715
143,0.0787715
143.25,0.0787715
143.5,0.0787715
143.75,0.0787715
144,0.0787713
144.25,0.0787713
144.5,0.0787713
144.75,0.0787713
145,0.0787713
145.25,0.0787713
145.5,0.0787947
145.75,0.0749462
146,0.264047
146.25,0.264047
146.5,0.264047
146.75,0.284592
147,0.646456
147.25,0.827388
147.5,0.543737
147.75,0.543737
148,0.543737
148.25,0.543737
148.5,0.543737
148.75,0.54616
149,0.54616
149.25,0.54616
149.5,0.54616
149.75,0.547371
150,0.232198
150.25,0.238498
150.5,0.352327
150.75,0.43
151,0.088513
151.25,0.0822128
151.5,0.0822128
151.75,0.0822128
152,0.0822128
152.25,0.00363374
152.5,0.00363374
152.75,0.00363374
153,0.00363374
153.25,0.00363374
153.5,0.00363374
153.75,0.00363374
154,0.00363374
154.25,0.00363374
154.5,0.00363374
154.75,0.225514
155,0.225514
155.25,0.225514
155.5,0.336454
155.75,0.336454
156,0.336454
156.25,0.336454
156.5,0.170044
156.75,0.170044
157,0.170044
157.25,0.170044
157.5,0.170044
157.75,0.170044
158,0.170044
158.25,0.16641
158.5,0.16641
158.75,0.16641
159,0.16641
159.25,0.16641
159.5,0.16641
159.75,0.16641
160,0.16641
160.25,0.16641
160.5,0.16641
160.75,0.16641
161,0.16641
161.25,0.16641
161.5,0.16641
161.75,0.16641
162,0.16641
162.25,0.16641
162.5,0.16641
162.75,0.16641
163,0.16641
163.25,0.16641
163.5,0.16641
163.75,0.16641
164,0.16641
164.25,0.16641
164.5,0.16641
164.75,0.16641
165,0.16641
165.25,0.16641
165.5,0.16641
165.75,0
166,0
166.25,0
166.5,0
166.75,0
167,0
167.25,0
167.5,0
167.75,0
168,0
168.25,0
168.5,0
168.75,0
169,0
169.25,0
169.5,0
169.75,0
170,0
170.25,0
170.5,0
170.75,0
171,0
171.25,0
171.5,0
171.75,0
172,0
172.25,0
172.5,0
172.75,0
173,0
173.25,0
173.5,0
173.75,0
174,0
174.25,0
174.5,0
174.75,0.895535
175,0
175.25,0
175.5,0
175.75,0
176,0
176.25,0
176.5,0
176.75,0
177,0
177.25,0
177.5,0
177.75,0
178,0
178.25,0
178.5,0
178.75,0
179,0
179.25,0
179.5,0
179.75,0
180,0
180.25,0
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
