Time,susceptible_lambda_W
0,0
0.25,0
0.5,64.8656
0.75,125.11
1,170.305
1.25,209.497
1.5,270.373
1.75,275.122
2,288.456
2.25,286.598
2.5,329.052
2.75,339.867
3,329.913
3.25,344.335
3.5,394.088
3.75,412.629
4,444.459
4.25,452.484
4.5,449.943
4.75,485.722
5,490.909
5.25,542.931
5.5,598.318
5.75,623.623
6,624.374
6.25,672.972
6.5,668.872
6.75,677.059
7,713.239
7.25,779.609
7.5,867.818
7.75,919.673
8,954.861
8.25,1019.01
8.5,1046.79
8.75,1095.4
9,1132.62
9.25,1166.8
9.5,1232.33
9.75,1284.32
10,1350.95
10.25,1426.69
10.5,1498.14
10.75,1524.57
11,1619.18
11.25,1708.24
11.5,1800.28
11.75,1873.98
12,1894.91
12.25,1936.39
12.5,2014.8
12.75,2099.27
13,2199.23
13.25,2329.65
13.5,2443.35
13.75,2520.11
14,2597.7
14.25,2628.03
14.5,2664.06
14.75,2785.06
15,3048.75
15.25,3160.06
15.5,3300.59
15.75,3512.97
16,3603.65
16.25,3754.63
16.5,3964.15
16.75,4185.54
17,4341
17.25,4554.65
17.5,4676.62
17.75,4919.24
18,5015.7
18.25,5295.27
18.5,5545.52
18.75,5772.45
19,5953.53
19.25,6425.51
19.5,6527.68
19.75,6762.17
20,7036.5
20.25,7309.2
20.5,7721.87
20.75,8067.23
21,8376.87
21.25,8721.98
21.5,9112.94
21.75,9403.18
22,9802.15
22.25,10214.4
22.5,10649.7
22.75,11081.6
23,11657
23.25,12203.4
23.5,12878.8
23.75,13434.3
24,14173.8
24.25,14876.2
24.5,15220.2
24.75,15809.8
25,16314
25.25,16791.4
25.5,17694.9
25.75,18416.3
26,19576.3
26.25,20311.3
26.5,21271.9
26.75,22226.2
27,23157.9
27.25,24380.6
27.5,25420.1
27.75,26485.8
28,27560.4
28.25,28652.3
28.5,29733
28.75,30914
29,32354.3
29.25,33725.2
29.5,35066
29.75,36696.4
30,38355.8
30.25,39996.5
30.5,41536.5
30.75,43503.3
31,45083
31.25,47067.3
31.5,48785.3
31.75,50975
32,52844.4
32.25,55019.1
32.5,57154.4
32.75,59738.2
33,61626.5
33.25,63676.9
33.5,66221.3
33.75,68840.2
34,71820.8
34.25,74830.9
34.5,77811.3
34.75,80001.9
35,82762.2
35.25,86289.9
35.5,89759.8
35.75,92975.8
36,95794.4
36.25,99012.6
36.5,102031
36.75,105075
37,108292
37.25,111676
37.5,115233
37.75,119282
38,122736
38.25,126363
38.5,129270
38.75,132655
39,136159
39.25,140177
39.5,144020
39.75,147478
40,150840
40.25,154258
40.5,157947
40.75,161707
41,165456
41.25,169161
41.5,172620
41.75,175036
42,177869
42.25,180709
42.5,183017
42.75,186180
43,188307
43.25,190907
43.5,193838
43.75,195983
44,197770
44.25,199997
44.5,201358
44.75,202181
45,203251
45.25,203649
45.5,204778
45.75,204806
46,205232
46.25,204895
46.5,204164
46.75,204018
47,203523
47.25,202545
47.5,201158
47.75,199519
48,197548
48.25,195204
48.5,192454
48.75,190316
49,188166
49.25,185158
49.5,182812
49.75,180153
50,176795
50.25,173948
50.5,170107
50.75,166664
51,162647
51.25,158909
51.5,155199
51.75,150866
52,147197
52.25,143473
52.5,139515
52.75,135759
53,131545
53.25,127497
53.5,123689
53.75,119967
54,115969
54.25,112025
54.5,108295
54.75,104159
55,100670
55.25,96879.2
55.5,93409
55.75,89571.3
56,86237.5
56.25,83009.1
56.5,79716
56.75,76634.2
57,73430.2
57.25,70182.6
57.5,67158.9
57.75,64549.3
58,62016.8
58.25,59557
58.5,56871.7
58.75,54480.7
59,52316.9
59.25,50100.3
59.5,47978
59.75,45835.9
60,43622.1
60.25,41676.3
60.5,39907.4
60.75,38105
61,36399.1
61.25,34700.3
61.5,33205.5
61.75,31706.8
62,30264.5
62.25,28976.9
62.5,27648.5
62.75,26291
63,25057.9
63.25,23849.2
63.5,22827.4
63.75,21936.5
64,20838
64.25,19894.2
64.5,18942
64.75,18091.5
65,17292.4
65.25,16508.9
65.5,15866.3
65.75,15188
66,14458.7
66.25,13773.9
66.5,13207.1
66.75,12549.4
67,12057.8
67.25,11619.1
67.5,11139.5
67.75,10513.5
68,10044
68.25,9615.77
68.5,9255.63
68.75,8871.33
69,8452.44
69.25,8128.43
69.5,7733.49
69.75,7413.72
70,7052.36
70.25,6736.89
70.5,6491.96
70.75,6259.02
71,6011.09
71.25,5750.41
71.5,5479.67
71.75,5302.35
72,5072.97
72.25,4844.32
72.5,4657.25
72.75,4433.55
73,4317.5
73.25,4168.88
73.5,4045.25
73.75,3837.71
74,3660.71
74.25,3534.3
74.5,3413.89
74.75,3248.89
75,3102.23
75.25,2995.44
75.5,2897.96
75.75,2753.98
76,2656.69
76.25,2573.84
76.5,2493.32
76.75,2387.58
77,2304.53
77.25,2197.81
77.5,2151.81
77.75,2069.59
78,2012.35
78.25,1953.89
78.5,1878.45
78.75,1797.57
79,1769.57
79.25,1728.1
79.5,1640.72
79.75,1535.77
80,1500.79
80.25,1436.76
80.5,1398.41
80.75,1319.69
81,1261.77
81.25,1223.22
81.5,1179.78
81.75,1129.85
82,1115.12
82.25,1076.58
82.5,1038.43
82.75,1004.55
83,950.061
83.25,908.33
83.5,865.502
83.75,831.519
84,803.711
84.25,787.39
84.5,750.088
84.75,713.105
85,703.025
85.25,676.269
85.5,671.467
85.75,666.787
86,653.592
86.25,624.335
86.5,596.514
86.75,580.817
87,573.993
87.25,555.465
87.5,547.172
87.75,524.379
88,490.778
88.25,473.674
88.5,451.978
88.75,433.906
89,439.759
89.25,429.069
89.5,409.035
89.75,396.26
90,377.349
90.25,367.018
90.5,342.857
90.75,330.041
91,321.652
91.25,308.131
91.5,311.516
91.75,298.288
92,298.145
92.25,278.246
92.5,258.712
92.75,268.731
93,262.938
93.25,245.12
93.5,235.032
93.75,223.812
94,198.606
94.25,191.713
94.5,182.308
94.75,195.05
95,192.494
95.25,176.187
95.5,172.251
95.75,167.385
96,160.431
96.25,157.232
96.5,163.951
96.75,157.76
97,158.726
97.25,146.468
97.5,144.014
97.75,144.713
98,138.223
98.25,134.176
98.5,125.534
98.75,115.678
99,111.984
99.25,98.6515
99.5,94.4642
99.75,86.0552
100,84.5622
100.25,83.2367
100.5,77.4004
100.75,77.2957
101,76.8775
101.25,73.2389
101.5,68.6609
101.75,64.5263
102,61.7404
102.25,57.2725
102.5,58.3998
102.75,51.3711
103,44.0276
103.25,42.8497
103.5,41.8255
103.75,47.7881
104,44.0107
104.25,42.3654
104.5,42.1114
104.75,38.904
105,43.5827
105.25,38.7085
105.5,33.7753
105.75,31.3695
106,29.0004
106.25,29.7897
106.5,30.2248
106.75,26.9869
107,27.7295
107.25,25.8939
107.5,34.7975
107.75,32.0431
108,30.7677
108.25,29.5342
108.5,28.2513
108.75,23.5298
109,18.1817
109.25,16.3911
109.5,15.8703
109.75,16.6987
110,20.8132
110.25,13.8444
110.5,12.1564
110.75,12.03
111,11.6931
111.25,13.0621
111.5,12.139
111.75,11.2896
112,11.1728
112.25,12.583
112.5,13.2266
112.75,11.1854
113,9.94478
113.25,10.2883
113.5,10.0603
113.75,9.98198
114,8.40752
114.25,8.00996
114.5,8.16846
114.75,8.14201
115,8.40449
115.25,7.15981
115.5,6.83109
115.75,6.38239
116,6.0983
116.25,5.39103
116.5,4.92746
116.75,4.80587
117,4.19013
117.25,4.63467
117.5,3.7465
117.75,4.41333
118,4.49851
118.25,5.21724
118.5,5.50807
118.75,5.30391
119,4.50772
119.25,3.93321
119.5,3.75633
119.75,3.70106
120,3.67468
120.25,3.66612
120.5,3.42778
120.75,3.4498
121,3.44816
121.25,5.15521
121.5,4.80854
121.75,3.839
122,4.70602
122.25,4.63425
122.5,4.47235
122.75,4.23597
123,4.15344
123.25,4.04205
123.5,3.62648
123.75,3.4766
124,2.96499
124.25,2.85161
124.5,3.48281
124.75,2.7132
125,2.70504
125.25,2.67895
125.5,2.9592
125.75,2.55639
126,4.71264
126.25,4.61451
126.5,3.37655
126.75,0.800334
127,0.800367
127.25,0.72086
127.5,0.667302
127.75,0.663436
128,0.655798
128.25,0.654996
128.5,0.607001
128.75,0.86142
129,0.825168
129.25,0.94737
129.5,0.907499
129.75,0.579286
130,0.572908
130.25,0.194617
130.5,0.194617
130.75,0.253562
131,0.327655
131.25,0.997188
131.5,1.33079
131.75,1.01809
132,1.15503
132.25,1.11435
132.5,1.3147
132.75,1.3163
133,1.28096
133.25,1.07324
133.5,0.428687
133.75,0.408643
134,0.365929
134.25,0.349526
134.5,0.349526
134.75,0.349526
135,0.349526
135.25,0.349467
135.5,0.349461
135.75,0.349461
136,0.349461
136.25,0.349461
136.5,0.287888
136.75,0.253794
137,0.253794
137.25,0.0423074
137.5,0.0423074
137.75,0.0566706
138,0.0566154
138.25,0.0515157
138.5,0.0515157
138.75,0.0515157
139,0.0515157
139.25,0.0513414
139.5,0.0513414
139.75,0.0369782
140,0.0369782
140.25,0.0369782
140.5,0.0369782
140.75,0.0369782
141,0.0369782
141.25,0.0369782
141.5,0.0369699
141.75,0.0369699
142,0.0369699
142.25,0.0369699
142.5,0.0369699
142.75,0.0361918
143,0.0361918
143.25,0.0361918
143.5,0.0361918
143.75,0.0361918
144,0.0361918
144.25,0.0361918
144.5,0.0361744
144.75,0.0361744
145,0.0361744
145.25,0.0361744
145.5,0.0361747
145.75,0.0361748
146,0.0361748
146.25,0.0361748
146.5,0.0361748
146.75,0.0361748
147,0.0361748
147.25,4.3861e-07
147.5,4.3861e-07
147.75,4.3861e-07
148,4.3861e-07
148.25,4.37063e-07
148.5,4.37063e-07
148.75,4.37063e-07
149,4.37063e-07
149.25,4.37063e-07
149.5,4.37063e-07
149.75,4.37063e-07
150,0
150.25,0
150.5,0
150.75,0
151,0
151.25,0
151.5,0
151.75,0
152,0
152.25,0
152.5,0
152.75,0
153,0
153.25,0
153.5,0
153.75,0
154,0
154.25,0
154.5,0
154.75,0
155,0
155.25,0
155.5,0
155.75,0
156,0
156.25,0
156.5,0
156.75,0
157,0
157.25,0
157.5,0
157.75,0
158,0
158.25,0
158.5,0
158.75,0
159,0
159.25,0
159.5,0
159.75,0
160,0
160.25,0
160.5,0
160.75,0
161,0
161.25,0
161.5,0
161.75,0
162,0
162.25,0
162.5,0
162.75,0
163,0
163.25,0
163.5,0
163.75,0
164,0
164.25,0
164.5,0
164.75,0
165,0
165.25,0
165.5,0
165.75,0
166,0
166.25,0
166.5,0
166.75,0
167,0
167.25,0
167.5,0
167.75,0
168,0
168.25,0
168.5,0
168.75,0
169,0
169.25,0
169.5,0
169.75,0
170,0
170.25,0
170.5,0
170.75,0
171,0
171.25,0
171.5,0
171.75,0
172,0
172.25,0
172.5,0
172.75,0
173,0
173.25,0
173.5,0
173.75,0
174,0
174.25,0
174.5,0
174.75,0.179477
175,0.269215
175.25,0.269215
175.5,0.269215
175.75,0.269215
176,0.269215
176.25,0.269215
176.5,0.269215
176.75,0.269215
177,0.269215
177.25,0.269215
177.5,0.269215
177.75,0.269215
178,0.134608
178.25,0.134608
178.5,0
178.75,0
179,0
179.25,0
179.5,0
179.75,1.0954
180,1.0954
180.25,1.0954
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
