Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,1.03264e-05
1,6.61435e-06
1.25,1.86924e-05
1.5,4.6124e-05
1.75,5.00971e-05
2,2.93678e-05
2.25,4.07158e-05
2.5,6.24507e-05
2.75,3.25959e-05
3,0.000111182
3.25,4.93063e-05
3.5,5.12237e-05
3.75,7.54771e-05
4,9.67593e-05
4.25,0.000122537
4.5,3.66354e-05
4.75,3.08557e-05
5,3.02901e-05
5.25,5.12837e-05
5.5,5.78261e-05
5.75,0.000126929
6,7.48361e-05
6.25,6.36364e-05
6.5,6.33262e-05
6.75,7.81804e-05
7,0.000132005
7.25,8.08724e-05
7.5,9.67871e-05
7.75,0.000119886
8,9.44902e-05
8.25,0.000100261
8.5,5.74742e-05
8.75,0.000111579
9,0.000102428
9.25,0.000104382
9.5,8.72003e-05
9.75,0.000108985
10,0.000134036
10.25,0.000103462
10.5,0.000127527
10.75,0.000113074
11,0.000153108
11.25,0.000145908
11.5,0.000146914
11.75,0.000172668
12,0.000151523
12.25,0.000133938
12.5,0.000173421
12.75,0.000156061
13,0.000170057
13.25,0.000176369
13.5,0.000223233
13.75,0.000176718
14,0.000210823
14.25,0.000206022
14.5,0.000221366
14.75,0.000267742
15,0.000211731
15.25,0.000268243
15.5,0.00022642
15.75,0.000255691
16,0.000283852
16.25,0.000301028
16.5,0.000293485
16.75,0.000342429
17,0.000301992
17.25,0.000334231
17.5,0.000361466
17.75,0.000478499
18,0.000423659
18.25,0.000477069
18.5,0.000422168
18.75,0.000497687
19,0.00043594
19.25,0.00056597
19.5,0.000548519
19.75,0.000597739
20,0.000542204
20.25,0.000530936
20.5,0.000633732
20.75,0.0006536
21,0.000645817
21.25,0.000774243
21.5,0.000754122
21.75,0.000814396
22,0.000833768
22.25,0.000839899
22.5,0.000842418
22.75,0.000930382
23,0.000965504
23.25,0.000983084
23.5,0.0010414
23.75,0.00111094
24,0.00118479
24.25,0.00116435
24.5,0.00130541
24.75,0.0013875
25,0.00143112
25.25,0.00139943
25.5,0.00150893
25.75,0.00154433
26,0.00150358
26.25,0.00165381
26.5,0.0018603
26.75,0.00180336
27,0.00189646
27.25,0.00190332
27.5,0.00202793
27.75,0.00221971
28,0.0022882
28.25,0.00232537
28.5,0.00246157
28.75,0.00243415
29,0.00265728
29.25,0.00279341
29.5,0.00292047
29.75,0.00306732
30,0.0031051
30.25,0.00309914
30.5,0.00336846
30.75,0.00367855
31,0.00383112
31.25,0.00390827
31.5,0.00410003
31.75,0.00411818
32,0.00433822
32.25,0.00455098
32.5,0.00474445
32.75,0.00498483
33,0.00519109
33.25,0.00557494
33.5,0.00540649
33.75,0.00579863
34,0.00601371
34.25,0.00623007
34.5,0.0063994
34.75,0.00666913
35,0.00716098
35.25,0.00714516
35.5,0.00755776
35.75,0.00769205
36,0.00795564
36.25,0.0082809
36.5,0.00873576
36.75,0.00907502
37,0.00943059
37.25,0.00973576
37.5,0.0100143
37.75,0.0100061
38,0.0105349
38.25,0.0113493
38.5,0.0110206
38.75,0.0117688
39,0.0122796
39.25,0.0122536
39.5,0.012844
39.75,0.0131598
40,0.0135049
40.25,0.0141514
40.5,0.0141859
40.75,0.014979
41,0.0151877
41.25,0.0155728
41.5,0.0163551
41.75,0.0166382
42,0.0172219
42.25,0.017829
42.5,0.0181795
42.75,0.0183351
43,0.0185512
43.25,0.0192043
43.5,0.0196909
43.75,0.0196448
44,0.0202244
44.25,0.0209355
44.5,0.0211979
44.75,0.0216557
45,0.0221742
45.25,0.0224343
45.5,0.0231717
45.75,0.0232092
46,0.0231921
46.25,0.0238895
46.5,0.0243583
46.75,0.0246961
47,0.0249034
47.25,0.0250681
47.5,0.0256353
47.75,0.0251279
48,0.0255693
48.25,0.0261761
48.5,0.0263357
48.75,0.0268249
49,0.0267904
49.25,0.0264358
49.5,0.0269128
49.75,0.0266991
50,0.026891
50.25,0.0270736
50.5,0.0271204
50.75,0.0276493
51,0.0274925
51.25,0.027238
51.5,0.0269909
51.75,0.0271557
52,0.0276099
52.25,0.0277723
52.5,0.0272843
52.75,0.026925
53,0.0268451
53.25,0.0267194
53.5,0.0263723
53.75,0.0263808
54,0.0254825
54.25,0.0267565
54.5,0.0256193
54.75,0.026011
55,0.0249891
55.25,0.0253659
55.5,0.0254396
55.75,0.024498
56,0.0245356
56.25,0.0246493
56.5,0.0245096
56.75,0.0238293
57,0.0241335
57.25,0.023136
57.5,0.0229465
57.75,0.0231548
58,0.0224413
58.25,0.0218303
58.5,0.0214908
58.75,0.0215064
59,0.0214584
59.25,0.0212616
59.5,0.020476
59.75,0.0201978
60,0.0196709
60.25,0.019559
60.5,0.0197189
60.75,0.0192632
61,0.0188396
61.25,0.0184546
61.5,0.0184673
61.75,0.0178413
62,0.0172637
62.25,0.0164769
62.5,0.01659
62.75,0.0171106
63,0.0164126
63.25,0.0162933
63.5,0.0154467
63.75,0.0153348
64,0.0146377
64.25,0.0148529
64.5,0.0143653
64.75,0.0146612
65,0.0138779
65.25,0.0132403
65.5,0.0136697
65.75,0.0126739
66,0.0128787
66.25,0.0128385
66.5,0.0124078
66.75,0.0124787
67,0.0114001
67.25,0.0117616
67.5,0.0110022
67.75,0.0102169
68,0.0113427
68.25,0.0105071
68.5,0.00987853
68.75,0.0108705
69,0.00986487
69.25,0.00994838
69.5,0.01025
69.75,0.0092154
70,0.00879994
70.25,0.00814042
70.5,0.00852892
70.75,0.00835932
71,0.00794811
71.25,0.00841954
71.5,0.00802249
71.75,0.00780643
72,0.00788053
72.25,0.00684088
72.5,0.00744261
72.75,0.00719059
73,0.00653006
73.25,0.00661755
73.5,0.00656114
73.75,0.00630218
74,0.00641018
74.25,0.00608327
74.5,0.00576955
74.75,0.00581346
75,0.00593129
75.25,0.00558248
75.5,0.00499912
75.75,0.00534619
76,0.00507644
76.25,0.00470687
76.5,0.00458364
76.75,0.00477298
77,0.00451411
77.25,0.00461457
77.5,0.00401399
77.75,0.00406664
78,0.00392632
78.25,0.00386871
78.5,0.0039596
78.75,0.00433969
79,0.00411272
79.25,0.0035618
79.5,0.00314959
79.75,0.0031404
80,0.0033926
80.25,0.00284785
80.5,0.0029522
80.75,0.00304229
81,0.00351107
81.25,0.00298804
81.5,0.00259876
81.75,0.00289963
82,0.00275882
82.25,0.00311142
82.5,0.00287627
82.75,0.00263819
83,0.00211063
83.25,0.00225085
83.5,0.00249626
83.75,0.00214495
84,0.00244865
84.25,0.00222772
84.5,0.00204314
84.75,0.00192748
85,0.00186731
85.25,0.00181202
85.5,0.00158862
85.75,0.00179755
86,0.00144336
86.25,0.00140232
86.5,0.0015939
86.75,0.00153267
87,0.00213896
87.25,0.00161163
87.5,0.00154395
87.75,0.00161654
88,0.00114478
88.25,0.00139721
88.5,0.00126678
88.75,0.00166335
89,0.00133184
89.25,0.0014536
89.5,0.00124693
89.75,0.00108242
90,0.00101666
90.25,0.00115414
90.5,0.000925967
90.75,0.00106602
91,0.00121129
91.25,0.000805983
91.5,0.0010136
91.75,0.00134931
92,0.000969943
92.25,0.000734411
92.5,0.000684298
92.75,0.000843355
93,0.000739606
93.25,0.000669483
93.5,0.000800707
93.75,0.000962992
94,0.000847179
94.25,0.000704404
94.5,0.000642124
94.75,0.000567761
95,0.000639214
95.25,0.000483069
95.5,0.00061858
95.75,0.00055791
96,0.000662446
96.25,0.000589134
96.5,0.000627831
96.75,0.000526066
97,0.000652199
97.25,0.000494352
97.5,0.000404376
97.75,0.000587413
98,0.00056762
98.25,0.00029904
98.5,0.000414768
98.75,0.000387531
99,0.000426339
99.25,0.00051645
99.5,0.00048494
99.75,0.000463348
100,0.00049431
100.25,0.000666919
100.5,0.000382088
100.75,0.000363874
101,0.000501741
101.25,0.000266904
101.5,0.000454257
101.75,0.000473888
102,0.000595554
102.25,0.000580339
102.5,0.000262727
102.75,0.000167546
103,0.000495429
103.25,0.000353211
103.5,0.000341054
103.75,0.000689135
104,0.000549995
104.25,0.000822315
104.5,0.000452471
104.75,0.000161262
105,0.000239579
105.25,0.000897127
105.5,0.000500472
105.75,0.000156546
106,0.000232753
106.25,0.000700199
106.5,0.000386509
106.75,0.000362068
107,0.000562989
107.25,0.00174658
107.5,0.000167147
107.75,0.000112323
108,0.000304529
108.25,0.000264484
108.5,0.000186034
108.75,0.000608484
109,0.000416119
109.25,0.000134598
109.5,0.000438803
109.75,0.0013795
110,0.000278279
110.25,0.000117065
110.5,0.000237354
110.75,0.000601749
111,0.000379548
111.25,0.000586996
111.5,0.00123569
111.75,0.0001521
112,0.0011709
112.25,0.001243
112.5,9.6222e-05
112.75,0.000112096
113,0.000951869
113.25,0.00111328
113.5,0.0027569
113.75,0.000640535
114,0.00057473
114.25,0.000371805
114.5,0.000103865
114.75,0.000509884
115,0.000455737
115.25,0.000756225
115.5,0.000944281
115.75,0.000834043
116,0.000306973
116.25,7.16837e-05
116.5,0.000304217
116.75,0.000585856
117,7.64307e-05
117.25,0.000348261
117.5,6.23981e-05
117.75,0.00022167
118,0.000180956
118.25,3.30071e-05
118.5,0.000867316
118.75,2.41583e-05
119,0.00244114
119.25,0.000709064
119.5,2.17671e-06
119.75,0.00138093
120,0.00052713
120.25,1
120.5,0.00064081
120.75,9.15008e-05
121,5.77757e-05
121.25,2.07406e-05
121.5,3.47198e-05
121.75,0.000175893
122,0.00261484
122.25,0.00342092
122.5,2.42404e-05
122.75,3.60275e-05
123,3.67486e-05
123.25,2.52532e-05
123.5,0.000374233
123.75,1.16223e-05
124,7.07447e-06
124.25,0.00274014
124.5,0.00061079
124.75,9.03084e-05
125,5.29693e-05
125.25,5.4105e-06
125.5,0.0001159
125.75,3.33221e-05
126,4.10092e-05
126.25,0.0021314
126.5,0.000291103
126.75,1.17059e-06
127,0.000135838
127.25,3.83685e-07
127.5,9.47577e-05
127.75,0.0124999
128,1.75878e-05
128.25,1
128.5,0.000581978
128.75,0.000369324
129,7.25312e-06
129.25,1
129.5,2.00584e-06
129.75,5.23268e-05
130,-nan
130.25,0.00102384
130.5,2.10601e-05
130.75,-nan
131,-nan
131.25,0.000334322
131.5,0.00323753
131.75,0.00185185
132,2.37894e-09
132.25,1.08108e-07
132.5,6.13648e-05
132.75,0.000177033
133,1.08379e-06
133.25,0.00136214
133.5,1
133.75,1
134,0.0136974
134.25,1
134.5,-nan
134.75,1
135,0.000108588
135.25,-nan
135.5,7.54065e-06
135.75,1
136,1.45047e-06
136.25,2.74071e-05
136.5,0.000138457
136.75,1
137,4.77058e-05
137.25,-nan
137.5,-nan
137.75,0.000346664
138,1
138.25,-nan
138.5,1
138.75,-nan
139,1
139.25,6.6583e-08
139.5,1
139.75,-nan
140,1
140.25,2.04271e-06
140.5,-nan
140.75,-nan
141,-nan
141.25,-nan
141.5,1
141.75,-nan
142,-nan
142.25,-nan
142.5,-nan
142.75,-nan
143,-nan
143.25,-nan
143.5,-nan
143.75,-nan
144,-nan
144.25,-nan
144.5,-nan
144.75,-nan
145,1
145.25,-nan
145.5,-nan
145.75,-nan
146,1
146.25,-nan
146.5,-nan
146.75,-nan
147,1
147.25,-nan
147.5,1.84697e-06
147.75,-nan
148,-nan
148.25,1
148.5,-nan
148.75,-nan
149,1
149.25,-nan
149.5,1
149.75,-nan
150,0.000940248
150.25,1
150.5,-nan
150.75,-nan
151,0.00169559
151.25,1
151.5,-nan
151.75,-nan
152,-nan
152.25,-nan
152.5,-nan
152.75,-nan
153,-nan
153.25,-nan
153.5,-nan
153.75,-nan
154,-nan
154.25,-nan
154.5,-nan
154.75,-nan
155,-nan
155.25,-nan
155.5,-nan
155.75,-nan
156,-nan
156.25,-nan
156.5,9.79513e-05
156.75,-nan
157,-nan
157.25,-nan
157.5,-nan
157.75,-nan
158,-nan
158.25,-nan
158.5,-nan
158.75,-nan
159,-nan
159.25,-nan
159.5,-nan
159.75,-nan
160,-nan
160.25,-nan
160.5,-nan
160.75,-nan
161,-nan
161.25,-nan
161.5,-nan
161.75,-nan
162,-nan
162.25,-nan
162.5,-nan
162.75,-nan
163,-nan
163.25,-nan
163.5,-nan
163.75,-nan
164,-nan
164.25,-nan
164.5,-nan
164.75,-nan
165,-nan
165.25,-nan
165.5,-nan
165.75,0.000108243
166,-nan
166.25,-nan
166.5,-nan
166.75,-nan
167,-nan
167.25,-nan
167.5,-nan
167.75,-nan
168,-nan
168.25,-nan
168.5,-nan
168.75,-nan
169,-nan
169.25,-nan
169.5,-nan
169.75,-nan
170,-nan
170.25,-nan
170.5,-nan
170.75,-nan
171,-nan
171.25,-nan
171.5,-nan
171.75,-nan
172,-nan
172.25,-nan
172.5,-nan
172.75,-nan
173,-nan
173.25,1
173.5,-nan
173.75,-nan
174,-nan
174.25,-nan
174.5,-nan
174.75,-nan
175,7.03416e-06
175.25,-nan
175.5,-nan
175.75,-nan
176,-nan
176.25,-nan
176.5,-nan
176.75,-nan
177,-nan
177.25,-nan
177.5,-nan
177.75,-nan
178,4.05895e-11
178.25,-nan
178.5,-nan
178.75,-nan
179,-nan
179.25,-nan
179.5,-nan
179.75,-nan
180,-nan
180.25,-nan
180.5,-nan
180.75,-nan
181,-nan
181.25,-nan
181.5,-nan
181.75,-nan
182,-nan
182.25,-nan
182.5,-nan
182.75,-nan
183,-nan
183.25,-nan
183.5,-nan
183.75,-nan
184,-nan
184.25,-nan
184.5,-nan
184.75,-nan
185,-nan
185.25,-nan
185.5,-nan
185.75,-nan
186,-nan
186.25,-nan
186.5,-nan
186.75,-nan
187,-nan
187.25,-nan
187.5,-nan
187.75,-nan
188,-nan
188.25,-nan
188.5,-nan
188.75,-nan
189,-nan
189.25,-nan
189.5,-nan
189.75,-nan
190,-nan
190.25,-nan
190.5,-nan
190.75,-nan
191,-nan
191.25,-nan
191.5,-nan
191.75,-nan
192,-nan
192.25,-nan
192.5,-nan
192.75,-nan
193,-nan
193.25,-nan
193.5,-nan
193.75,-nan
194,-nan
194.25,-nan
194.5,-nan
194.75,-nan
195,-nan
195.25,-nan
195.5,-nan
195.75,-nan
196,-nan
196.25,-nan
196.5,-nan
196.75,-nan
197,-nan
197.25,-nan
197.5,-nan
197.75,-nan
198,-nan
198.25,-nan
198.5,-nan
198.75,-nan
199,-nan
199.25,-nan
199.5,-nan
199.75,-nan
200,-nan
200.25,-nan
200.5,-nan
200.75,-nan
201,-nan
201.25,-nan
201.5,-nan
201.75,-nan
202,-nan
202.25,-nan
202.5,-nan
202.75,-nan
203,-nan
203.25,-nan
203.5,-nan
203.75,-nan
204,-nan
204.25,-nan
204.5,-nan
204.75,-nan
205,-nan
205.25,-nan
205.5,-nan
205.75,-nan
206,-nan
206.25,-nan
206.5,-nan
206.75,-nan
207,-nan
207.25,-nan
207.5,-nan
207.75,-nan
208,-nan
208.25,-nan
208.5,-nan
208.75,-nan
209,-nan
209.25,-nan
209.5,-nan
209.75,-nan
210,-nan
210.25,-nan
210.5,-nan
210.75,-nan
211,-nan
211.25,-nan
211.5,-nan
211.75,-nan
212,-nan
212.25,-nan
212.5,-nan
212.75,-nan
213,-nan
213.25,-nan
213.5,-nan
213.75,-nan
214,-nan
214.25,-nan
214.5,-nan
214.75,-nan
215,-nan
215.25,-nan
215.5,-nan
215.75,-nan
216,-nan
216.25,-nan
216.5,-nan
216.75,-nan
217,-nan
217.25,-nan
217.5,-nan
217.75,-nan
218,-nan
218.25,-nan
218.5,-nan
218.75,-nan
219,-nan
219.25,-nan
219.5,-nan
219.75,-nan
220,-nan
220.25,-nan
220.5,-nan
220.75,-nan
221,-nan
221.25,-nan
221.5,-nan
221.75,-nan
222,-nan
222.25,-nan
222.5,-nan
222.75,-nan
223,-nan
223.25,-nan
223.5,-nan
223.75,-nan
224,-nan
224.25,-nan
224.5,-nan
224.75,-nan
225,-nan
225.25,-nan
225.5,-nan
225.75,-nan
226,-nan
226.25,-nan
226.5,-nan
226.75,-nan
227,-nan
227.25,-nan
227.5,-nan
227.75,-nan
228,-nan
228.25,-nan
228.5,-nan
228.75,-nan
229,-nan
229.25,-nan
229.5,-nan
229.75,-nan
230,-nan
230.25,-nan
230.5,-nan
230.75,-nan
231,-nan
231.25,-nan
231.5,-nan
231.75,-nan
232,-nan
232.25,-nan
232.5,-nan
232.75,-nan
233,-nan
233.25,-nan
233.5,-nan
233.75,-nan
234,-nan
234.25,-nan
234.5,-nan
234.75,-nan
235,-nan
235.25,-nan
235.5,-nan
235.75,-nan
236,-nan
236.25,-nan
236.5,-nan
236.75,-nan
237,-nan
237.25,-nan
237.5,-nan
237.75,-nan
238,-nan
238.25,-nan
238.5,-nan
238.75,-nan
239,-nan
239.25,-nan
239.5,-nan
239.75,-nan
240,-nan
240.25,-nan
240.5,-nan
240.75,-nan
241,-nan
241.25,-nan
241.5,-nan
241.75,-nan
242,-nan
242.25,-nan
242.5,-nan
242.75,-nan
243,-nan
243.25,-nan
243.5,-nan
243.75,-nan
244,-nan
244.25,-nan
244.5,-nan
244.75,-nan
245,-nan
245.25,-nan
245.5,-nan
245.75,-nan
246,-nan
246.25,-nan
246.5,-nan
246.75,-nan
247,-nan
247.25,-nan
247.5,-nan
247.75,-nan
248,-nan
248.25,-nan
248.5,-nan
248.75,-nan
249,-nan
249.25,-nan
249.5,-nan
249.75,-nan
250,-nan
250.25,-nan
250.5,-nan
250.75,-nan
251,-nan
251.25,-nan
251.5,-nan
251.75,-nan
252,-nan
252.25,-nan
252.5,-nan
252.75,-nan
253,-nan
253.25,-nan
253.5,-nan
253.75,-nan
254,-nan
254.25,-nan
254.5,-nan
254.75,-nan
255,-nan
255.25,-nan
255.5,-nan
255.75,-nan
256,-nan
256.25,-nan
256.5,-nan
256.75,-nan
257,-nan
257.25,-nan
257.5,-nan
257.75,-nan
258,-nan
258.25,-nan
258.5,-nan
258.75,-nan
259,-nan
259.25,-nan
259.5,-nan
259.75,-nan
260,-nan
260.25,-nan
260.5,-nan
260.75,-nan
261,-nan
261.25,-nan
261.5,-nan
261.75,-nan
262,-nan
262.25,-nan
262.5,-nan
262.75,-nan
263,-nan
263.25,-nan
263.5,-nan
263.75,-nan
264,-nan
264.25,-nan
264.5,-nan
264.75,-nan
265,-nan
265.25,-nan
265.5,-nan
265.75,-nan
266,-nan
266.25,-nan
266.5,-nan
266.75,-nan
267,-nan
267.25,-nan
267.5,-nan
267.75,-nan
268,-nan
268.25,-nan
268.5,-nan
268.75,-nan
269,-nan
269.25,-nan
269.5,-nan
269.75,-nan
270,-nan
270.25,-nan
270.5,-nan
270.75,-nan
271,-nan
271.25,-nan
271.5,-nan
271.75,-nan
272,-nan
272.25,-nan
272.5,-nan
272.75,-nan
273,-nan
273.25,-nan
273.5,-nan
273.75,-nan
274,-nan
274.25,-nan
274.5,-nan
274.75,-nan
275,-nan
275.25,-nan
275.5,-nan
275.75,-nan
276,-nan
276.25,-nan
276.5,-nan
276.75,-nan
277,-nan
277.25,-nan
277.5,-nan
277.75,-nan
278,-nan
278.25,-nan
278.5,-nan
278.75,-nan
279,-nan
279.25,-nan
279.5,-nan
279.75,-nan
280,-nan
280.25,-nan
280.5,-nan
280.75,-nan
281,-nan
281.25,-nan
281.5,-nan
281.75,-nan
282,-nan
282.25,-nan
282.5,-nan
282.75,-nan
283,-nan
283.25,-nan
283.5,-nan
283.75,-nan
284,-nan
284.25,-nan
284.5,-nan
284.75,-nan
285,-nan
285.25,-nan
285.5,-nan
285.75,-nan
286,-nan
286.25,-nan
286.5,-nan
286.75,-nan
287,-nan
287.25,-nan
287.5,-nan
287.75,-nan
288,-nan
288.25,-nan
288.5,-nan
288.75,-nan
289,-nan
289.25,-nan
289.5,-nan
289.75,-nan
290,-nan
290.25,-nan
290.5,-nan
290.75,-nan
291,-nan
291.25,-nan
291.5,-nan
291.75,-nan
292,-nan
292.25,-nan
292.5,-nan
292.75,-nan
293,-nan
293.25,-nan
293.5,-nan
293.75,-nan
294,-nan
294.25,-nan
294.5,-nan
294.75,-nan
295,-nan
295.25,-nan
295.5,-nan
295.75,-nan
296,-nan
296.25,-nan
296.5,-nan
296.75,-nan
297,-nan
297.25,-nan
297.5,-nan
297.75,-nan
298,-nan
298.25,-nan
298.5,-nan
298.75,-nan
299,-nan
299.25,-nan
299.5,-nan
299.75,-nan
300,-nan
300.25,-nan
300.5,-nan
300.75,-nan
301,-nan
301.25,-nan
301.5,-nan
301.75,-nan
302,-nan
302.25,-nan
302.5,-nan
302.75,-nan
303,-nan
303.25,-nan
303.5,-nan
303.75,-nan
304,-nan
304.25,-nan
304.5,-nan
304.75,-nan
305,-nan
305.25,-nan
305.5,-nan
305.75,-nan
306,-nan
306.25,-nan
306.5,-nan
306.75,-nan
307,-nan
307.25,-nan
307.5,-nan
307.75,-nan
308,-nan
308.25,-nan
308.5,-nan
308.75,-nan
309,-nan
309.25,-nan
309.5,-nan
309.75,-nan
310,-nan
310.25,-nan
310.5,-nan
310.75,-nan
311,-nan
311.25,-nan
311.5,-nan
311.75,-nan
312,-nan
312.25,-nan
312.5,-nan
312.75,-nan
313,-nan
313.25,-nan
313.5,-nan
313.75,-nan
314,-nan
314.25,-nan
314.5,-nan
314.75,-nan
315,-nan
315.25,-nan
315.5,-nan
315.75,-nan
316,-nan
316.25,-nan
316.5,-nan
316.75,-nan
317,-nan
317.25,-nan
317.5,-nan
317.75,-nan
318,-nan
318.25,-nan
318.5,-nan
318.75,-nan
319,-nan
319.25,-nan
319.5,-nan
319.75,-nan
320,-nan
320.25,-nan
320.5,-nan
320.75,-nan
321,-nan
321.25,-nan
321.5,-nan
321.75,-nan
322,-nan
322.25,-nan
322.5,-nan
322.75,-nan
323,-nan
323.25,-nan
323.5,-nan
323.75,-nan
324,-nan
324.25,-nan
324.5,-nan
324.75,-nan
325,-nan
325.25,-nan
325.5,-nan
325.75,-nan
326,-nan
326.25,-nan
326.5,-nan
326.75,-nan
327,-nan
327.25,-nan
327.5,-nan
327.75,-nan
328,-nan
328.25,-nan
328.5,-nan
328.75,-nan
329,-nan
329.25,-nan
329.5,-nan
329.75,-nan
330,-nan
330.25,-nan
330.5,-nan
330.75,-nan
331,-nan
331.25,-nan
331.5,-nan
331.75,-nan
332,-nan
332.25,-nan
332.5,-nan
332.75,-nan
333,-nan
333.25,-nan
333.5,-nan
333.75,-nan
334,-nan
334.25,-nan
334.5,-nan
334.75,-nan
335,-nan
335.25,-nan
335.5,-nan
335.75,-nan
336,-nan
336.25,-nan
336.5,-nan
336.75,-nan
337,-nan
337.25,-nan
337.5,-nan
337.75,-nan
338,-nan
338.25,-nan
338.5,-nan
338.75,-nan
339,-nan
339.25,-nan
339.5,-nan
339.75,-nan
340,-nan
340.25,-nan
340.5,-nan
340.75,-nan
341,-nan
341.25,-nan
341.5,-nan
341.75,-nan
342,-nan
342.25,-nan
342.5,-nan
342.75,-nan
343,-nan
343.25,-nan
343.5,-nan
343.75,-nan
344,-nan
344.25,-nan
344.5,-nan
344.75,-nan
345,-nan
345.25,-nan
345.5,-nan
345.75,-nan
346,-nan
346.25,-nan
346.5,-nan
346.75,-nan
347,-nan
347.25,-nan
347.5,-nan
347.75,-nan
348,-nan
348.25,-nan
348.5,-nan
348.75,-nan
349,-nan
349.25,-nan
349.5,-nan
349.75,-nan
350,-nan
350.25,-nan
350.5,-nan
350.75,-nan
351,-nan
351.25,-nan
351.5,-nan
351.75,-nan
352,-nan
352.25,-nan
352.5,-nan
352.75,-nan
353,-nan
353.25,-nan
353.5,-nan
353.75,-nan
354,-nan
354.25,-nan
354.5,-nan
354.75,-nan
355,-nan
355.25,-nan
355.5,-nan
355.75,-nan
356,-nan
356.25,-nan
356.5,-nan
356.75,-nan
357,-nan
357.25,-nan
357.5,-nan
357.75,-nan
358,-nan
358.25,-nan
358.5,-nan
358.75,-nan
359,-nan
359.25,-nan
359.5,-nan
359.75,-nan
360,-nan
360.25,-nan
360.5,-nan
360.75,-nan
361,-nan
361.25,-nan
361.5,-nan
361.75,-nan
362,-nan
362.25,-nan
362.5,-nan
362.75,-nan
363,-nan
363.25,-nan
363.5,-nan
363.75,-nan
364,-nan
364.25,-nan
364.5,-nan
364.75,-nan
