Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0.00901699
1,0.0153168
1.25,0.0447898
1.5,0.0441371
1.75,0.0613104
2,0.051445
2.25,0.0697926
2.5,0.0648875
2.75,0.0610606
3,0.142273
3.25,0.0946014
3.5,0.0418552
3.75,0.0976842
4,0.118855
4.25,0.175504
4.5,0.0835137
4.75,0.0656633
5,0.0674301
5.25,0.0787911
5.5,0.0885977
5.75,0.0899893
6,0.0871404
6.25,0.159021
6.5,0.146375
6.75,0.117316
7,0.199661
7.25,0.134838
7.5,0.0534687
7.75,0.114025
8,0.136522
8.25,0.114303
8.5,0.128517
8.75,0.155086
9,0.15817
9.25,0.152415
9.5,0.120939
9.75,0.143901
10,0.187551
10.25,0.108198
10.5,0.135692
10.75,0.150562
11,0.152698
11.25,0.151585
11.5,0.14535
11.75,0.137169
12,0.141763
12.25,0.120277
12.5,0.153652
12.75,0.136267
13,0.117464
13.25,0.113918
13.5,0.124848
13.75,0.111237
14,0.111867
14.25,0.13131
14.5,0.118956
14.75,0.126881
15,0.101133
15.25,0.131985
15.5,0.0881368
15.75,0.10788
16,0.119809
16.25,0.125923
16.5,0.103181
16.75,0.12775
17,0.10178
17.25,0.102791
17.5,0.117065
17.75,0.158927
18,0.1172
18.25,0.141075
18.5,0.109646
18.75,0.132004
19,0.116263
19.25,0.132083
19.5,0.115756
19.75,0.115486
20,0.12063
20.25,0.11296
20.5,0.116438
20.75,0.11955
21,0.101834
21.25,0.119383
21.5,0.123337
21.75,0.126599
22,0.123948
22.25,0.120382
22.5,0.113785
22.75,0.126358
23,0.11608
23.25,0.117127
23.5,0.120969
23.75,0.119378
24,0.121929
24.25,0.119909
24.5,0.120191
24.75,0.128072
25,0.124401
25.25,0.123438
25.5,0.120638
25.75,0.113459
26,0.109434
26.25,0.113494
26.5,0.128252
26.75,0.115818
27,0.119229
27.25,0.109959
27.5,0.114959
27.75,0.126062
28,0.123157
28.25,0.118666
28.5,0.125774
28.75,0.117182
29,0.129275
29.25,0.12759
29.5,0.12546
29.75,0.12563
30,0.120372
30.25,0.119385
30.5,0.123268
30.75,0.127058
31,0.123907
31.25,0.123661
31.5,0.124656
31.75,0.121401
32,0.126169
32.25,0.127517
32.5,0.129161
32.75,0.12966
33,0.132488
33.25,0.135569
33.5,0.128821
33.75,0.135118
34,0.135689
34.25,0.140379
34.5,0.13747
34.75,0.142576
35,0.144588
35.25,0.139328
35.5,0.141862
35.75,0.14299
36,0.140273
36.25,0.141602
36.5,0.145641
36.75,0.145502
37,0.149498
37.25,0.149522
37.5,0.1496
37.75,0.143482
38,0.148061
38.25,0.154503
38.5,0.144908
38.75,0.153446
39,0.156717
39.25,0.155888
39.5,0.158974
39.75,0.159595
40,0.159993
40.25,0.160681
40.5,0.161563
40.75,0.166946
41,0.16552
41.25,0.166426
41.5,0.169814
41.75,0.173182
42,0.17273
42.25,0.176355
42.5,0.178299
42.75,0.175604
43,0.17502
43.25,0.179744
43.5,0.180955
43.75,0.176683
44,0.180512
44.25,0.183237
44.5,0.184584
44.75,0.185991
45,0.187757
45.25,0.191577
45.5,0.193378
45.75,0.192849
46,0.188911
46.25,0.19143
46.5,0.19431
46.75,0.193324
47,0.194293
47.25,0.195878
47.5,0.197412
47.75,0.193769
48,0.195488
48.25,0.20143
48.5,0.199877
48.75,0.200256
49,0.197898
49.25,0.196552
49.5,0.198358
49.75,0.193421
50,0.196847
50.25,0.197033
50.5,0.198454
50.75,0.200979
51,0.199003
51.25,0.196265
51.5,0.197895
51.75,0.195689
52,0.19431
52.25,0.19989
52.5,0.194765
52.75,0.19333
53,0.19396
53.25,0.189848
53.5,0.190704
53.75,0.188781
54,0.182483
54.25,0.191364
54.5,0.182843
54.75,0.187567
55,0.176325
55.25,0.17959
55.5,0.182002
55.75,0.177809
56,0.174718
56.25,0.170898
56.5,0.173183
56.75,0.171551
57,0.171636
57.25,0.164523
57.5,0.164772
57.75,0.163826
58,0.160677
58.25,0.157759
58.5,0.156553
58.75,0.156196
59,0.155207
59.25,0.153264
59.5,0.144925
59.75,0.146698
60,0.147222
60.25,0.143994
60.5,0.142368
60.75,0.145103
61,0.13912
61.25,0.13845
61.5,0.137575
61.75,0.135682
62,0.130799
62.25,0.122934
62.5,0.125979
62.75,0.13322
63,0.125753
63.25,0.125757
63.5,0.116918
63.75,0.11609
64,0.119495
64.25,0.116198
64.5,0.112162
64.75,0.115736
65,0.107365
65.25,0.107512
65.5,0.110274
65.75,0.105237
66,0.107351
66.25,0.107972
66.5,0.0981572
66.75,0.111808
67,0.100849
67.25,0.103643
67.5,0.0986249
67.75,0.0971821
68,0.102514
68.25,0.0993033
68.5,0.0901991
68.75,0.100422
69,0.0980989
69.25,0.0913919
69.5,0.104586
69.75,0.0892199
70,0.0897147
70.25,0.0888346
70.5,0.0927338
70.75,0.0921241
71,0.0867532
71.25,0.0942179
71.5,0.0894404
71.75,0.0877811
72,0.088879
72.25,0.07975
72.5,0.0846345
72.75,0.0830777
73,0.0692987
73.25,0.0834918
73.5,0.0869667
73.75,0.0890037
74,0.0779505
74.25,0.0846194
74.5,0.076632
74.75,0.0871979
75,0.0841886
75.25,0.0828681
75.5,0.0718229
75.75,0.0843692
76,0.0733632
76.25,0.0688302
76.5,0.0726709
76.75,0.0758874
77,0.0784582
77.25,0.0820395
77.5,0.0752264
77.75,0.07374
78,0.0862346
78.25,0.0810078
78.5,0.0864301
78.75,0.0960351
79,0.0813263
79.25,0.0828507
79.5,0.0877886
79.75,0.0954607
80,0.0697652
80.25,0.0704328
80.5,0.0701602
80.75,0.0769175
81,0.0915076
81.25,0.0769861
81.5,0.0666852
81.75,0.0854867
82,0.0641381
82.25,0.0842157
82.5,0.0990984
82.75,0.0800594
83,0.0803054
83.25,0.0783596
83.5,0.0733442
83.75,0.0577226
84,0.077313
84.25,0.0766125
84.5,0.077194
84.75,0.0748594
85,0.0595347
85.25,0.0544915
85.5,0.0622744
85.75,0.0585504
86,0.0563323
86.25,0.0529941
86.5,0.063108
86.75,0.0634134
87,0.0778072
87.25,0.0666342
87.5,0.0724005
87.75,0.0830406
88,0.0850998
88.25,0.0631416
88.5,0.060078
88.75,0.0772867
89,0.0745547
89.25,0.073752
89.5,0.0965108
89.75,0.0472423
90,0.0704432
90.25,0.0497291
90.5,0.100734
90.75,0.0726067
91,0.0953199
91.25,0.0473111
91.5,0.0518104
91.75,0.0530774
92,0.0718434
92.25,0.0838582
92.5,0.0926108
92.75,0.0407734
93,0.0588371
93.25,0.0736408
93.5,0.0924335
93.75,0.0793251
94,0.137405
94.25,0.0680074
94.5,0.06195
94.75,0.032207
95,0.0749287
95.25,0.108146
95.5,0.0725547
95.75,0.042876
96,0.070685
96.25,0.0559841
96.5,0.0528342
96.75,0.0484146
97,0.0769078
97.25,0.108745
97.5,0.0850721
97.75,0.108627
98,0.0991596
98.25,0.0737585
98.5,0.0965347
98.75,0.109383
99,0.0518943
99.25,0.0918934
99.5,0.0824747
99.75,0.0731768
100,0.0611183
100.25,0.10142
100.5,0.0500154
100.75,0.0621692
101,0.0607723
101.25,0.0342391
101.5,0.0370231
101.75,0.149657
102,0.0181309
102.25,0.047109
102.5,0.120732
102.75,0.0437007
103,0.146673
103.25,0.0347644
103.5,0.00869811
103.75,0.0651303
104,0.0399385
104.25,0.185467
104.5,0.0877912
104.75,0.0928426
105,0.0198921
105.25,0.108527
105.5,0.0580752
105.75,0.0480416
106,0.0342451
106.25,0.0258665
106.5,0.0224455
106.75,0.0634589
107,0.0606891
107.25,0.0517634
107.5,0.0295751
107.75,0.113612
108,0.0490594
108.25,0.320131
108.5,0.11337
108.75,0.0672199
109,0.23069
109.25,0.134156
109.5,0.00899148
109.75,0.127187
110,0.0188262
110.25,0.161784
110.5,0.0773891
110.75,0.00242193
111,0.00466983
111.25,0.00266041
111.5,0.0951576
111.75,0
112,0.0278898
112.25,0.0430739
112.5,0.0352456
112.75,0.0373135
113,0.00133397
113.25,0.078256
113.5,0.0375074
113.75,0
114,0.00949382
114.25,0.00208093
114.5,0.000142908
114.75,0.00269541
115,0
115.25,0.0989886
115.5,0.0237029
115.75,0.00766311
116,0.0487454
116.25,0.057788
116.5,0.0386584
116.75,0
117,0.0354362
117.25,0.0803023
117.5,0.00185955
117.75,0.00115242
118,0.000561497
118.25,0
118.5,0
118.75,0.0022873
119,0.330801
119.25,0.0872049
119.5,0
119.75,0.0092894
120,0
120.25,0
120.5,0.481027
120.75,0.00373115
121,9.16148e-05
121.25,0
121.5,0.00665561
121.75,0.0082109
122,0.997385
122.25,0.996579
122.5,0.0835135
122.75,0.00874021
123,0
123.25,0.0353536
123.5,0.555775
123.75,0.0348865
124,0.0488504
124.25,0.0809129
124.5,0.999389
124.75,0.107827
125,0
125.25,0
125.5,0.00148806
125.75,0.0224192
126,0.999959
126.25,0.997869
126.5,0.999709
126.75,0.623143
127,0
127.25,0
127.5,0.447451
127.75,0
128,0
128.25,0
128.5,0
128.75,0
129,0.00400185
129.25,0
129.5,0.00844407
129.75,0.11697
130,-nan
130.25,0
130.5,0
130.75,-nan
131,-nan
131.25,0
131.5,0.113971
131.75,0.36075
132,0
132.25,0
132.5,0
132.75,0
133,0
133.25,0.998638
133.5,0
133.75,0
134,0.986303
134.25,0
134.5,-nan
134.75,0
135,0
135.25,-nan
135.5,0
135.75,0
136,0
136.25,0
136.5,0.268979
136.75,0
137,0
137.25,-nan
137.5,-nan
137.75,0
138,0
138.25,-nan
138.5,0
138.75,-nan
139,0
139.25,0
139.5,0
139.75,-nan
140,0
140.25,0
140.5,-nan
140.75,-nan
141,-nan
141.25,-nan
141.5,0
141.75,-nan
142,-nan
142.25,-nan
142.5,-nan
142.75,-nan
143,-nan
143.25,-nan
143.5,-nan
143.75,-nan
144,-nan
144.25,-nan
144.5,-nan
144.75,-nan
145,0
145.25,-nan
145.5,-nan
145.75,-nan
146,0
146.25,-nan
146.5,-nan
146.75,-nan
147,0
147.25,-nan
147.5,0
147.75,-nan
148,-nan
148.25,0
148.5,-nan
148.75,-nan
149,0
149.25,-nan
149.5,0
149.75,-nan
150,0
150.25,0
150.5,-nan
150.75,-nan
151,0
151.25,0
151.5,-nan
151.75,-nan
152,-nan
152.25,-nan
152.5,-nan
152.75,-nan
153,-nan
153.25,-nan
153.5,-nan
153.75,-nan
154,-nan
154.25,-nan
154.5,-nan
154.75,-nan
155,-nan
155.25,-nan
155.5,-nan
155.75,-nan
156,-nan
156.25,-nan
156.5,0
156.75,-nan
157,-nan
157.25,-nan
157.5,-nan
157.75,-nan
158,-nan
158.25,-nan
158.5,-nan
158.75,-nan
159,-nan
159.25,-nan
159.5,-nan
159.75,-nan
160,-nan
160.25,-nan
160.5,-nan
160.75,-nan
161,-nan
161.25,-nan
161.5,-nan
161.75,-nan
162,-nan
162.25,-nan
162.5,-nan
162.75,-nan
163,-nan
163.25,-nan
163.5,-nan
163.75,-nan
164,-nan
164.25,-nan
164.5,-nan
164.75,-nan
165,-nan
165.25,-nan
165.5,-nan
165.75,0
166,-nan
166.25,-nan
166.5,-nan
166.75,-nan
167,-nan
167.25,-nan
167.5,-nan
167.75,-nan
168,-nan
168.25,-nan
168.5,-nan
168.75,-nan
169,-nan
169.25,-nan
169.5,-nan
169.75,-nan
170,-nan
170.25,-nan
170.5,-nan
170.75,-nan
171,-nan
171.25,-nan
171.5,-nan
171.75,-nan
172,-nan
172.25,-nan
172.5,-nan
172.75,-nan
173,-nan
173.25,0
173.5,-nan
173.75,-nan
174,-nan
174.25,-nan
174.5,-nan
174.75,-nan
175,0
175.25,-nan
175.5,-nan
175.75,-nan
176,-nan
176.25,-nan
176.5,-nan
176.75,-nan
177,-nan
177.25,-nan
177.5,-nan
177.75,-nan
178,1
178.25,-nan
178.5,-nan
178.75,-nan
179,-nan
179.25,-nan
179.5,-nan
179.75,-nan
180,-nan
180.25,-nan
180.5,-nan
180.75,-nan
181,-nan
181.25,-nan
181.5,-nan
181.75,-nan
182,-nan
182.25,-nan
182.5,-nan
182.75,-nan
183,-nan
183.25,-nan
183.5,-nan
183.75,-nan
184,-nan
184.25,-nan
184.5,-nan
184.75,-nan
185,-nan
185.25,-nan
185.5,-nan
185.75,-nan
186,-nan
186.25,-nan
186.5,-nan
186.75,-nan
187,-nan
187.25,-nan
187.5,-nan
187.75,-nan
188,-nan
188.25,-nan
188.5,-nan
188.75,-nan
189,-nan
189.25,-nan
189.5,-nan
189.75,-nan
190,-nan
190.25,-nan
190.5,-nan
190.75,-nan
191,-nan
191.25,-nan
191.5,-nan
191.75,-nan
192,-nan
192.25,-nan
192.5,-nan
192.75,-nan
193,-nan
193.25,-nan
193.5,-nan
193.75,-nan
194,-nan
194.25,-nan
194.5,-nan
194.75,-nan
195,-nan
195.25,-nan
195.5,-nan
195.75,-nan
196,-nan
196.25,-nan
196.5,-nan
196.75,-nan
197,-nan
197.25,-nan
197.5,-nan
197.75,-nan
198,-nan
198.25,-nan
198.5,-nan
198.75,-nan
199,-nan
199.25,-nan
199.5,-nan
199.75,-nan
200,-nan
200.25,-nan
200.5,-nan
200.75,-nan
201,-nan
201.25,-nan
201.5,-nan
201.75,-nan
202,-nan
202.25,-nan
202.5,-nan
202.75,-nan
203,-nan
203.25,-nan
203.5,-nan
203.75,-nan
204,-nan
204.25,-nan
204.5,-nan
204.75,-nan
205,-nan
205.25,-nan
205.5,-nan
205.75,-nan
206,-nan
206.25,-nan
206.5,-nan
206.75,-nan
207,-nan
207.25,-nan
207.5,-nan
207.75,-nan
208,-nan
208.25,-nan
208.5,-nan
208.75,-nan
209,-nan
209.25,-nan
209.5,-nan
209.75,-nan
210,-nan
210.25,-nan
210.5,-nan
210.75,-nan
211,-nan
211.25,-nan
211.5,-nan
211.75,-nan
212,-nan
212.25,-nan
212.5,-nan
212.75,-nan
213,-nan
213.25,-nan
213.5,-nan
213.75,-nan
214,-nan
214.25,-nan
214.5,-nan
214.75,-nan
215,-nan
215.25,-nan
215.5,-nan
215.75,-nan
216,-nan
216.25,-nan
216.5,-nan
216.75,-nan
217,-nan
217.25,-nan
217.5,-nan
217.75,-nan
218,-nan
218.25,-nan
218.5,-nan
218.75,-nan
219,-nan
219.25,-nan
219.5,-nan
219.75,-nan
220,-nan
220.25,-nan
220.5,-nan
220.75,-nan
221,-nan
221.25,-nan
221.5,-nan
221.75,-nan
222,-nan
222.25,-nan
222.5,-nan
222.75,-nan
223,-nan
223.25,-nan
223.5,-nan
223.75,-nan
224,-nan
224.25,-nan
224.5,-nan
224.75,-nan
225,-nan
225.25,-nan
225.5,-nan
225.75,-nan
226,-nan
226.25,-nan
226.5,-nan
226.75,-nan
227,-nan
227.25,-nan
227.5,-nan
227.75,-nan
228,-nan
228.25,-nan
228.5,-nan
228.75,-nan
229,-nan
229.25,-nan
229.5,-nan
229.75,-nan
230,-nan
230.25,-nan
230.5,-nan
230.75,-nan
231,-nan
231.25,-nan
231.5,-nan
231.75,-nan
232,-nan
232.25,-nan
232.5,-nan
232.75,-nan
233,-nan
233.25,-nan
233.5,-nan
233.75,-nan
234,-nan
234.25,-nan
234.5,-nan
234.75,-nan
235,-nan
235.25,-nan
235.5,-nan
235.75,-nan
236,-nan
236.25,-nan
236.5,-nan
236.75,-nan
237,-nan
237.25,-nan
237.5,-nan
237.75,-nan
238,-nan
238.25,-nan
238.5,-nan
238.75,-nan
239,-nan
239.25,-nan
239.5,-nan
239.75,-nan
240,-nan
240.25,-nan
240.5,-nan
240.75,-nan
241,-nan
241.25,-nan
241.5,-nan
241.75,-nan
242,-nan
242.25,-nan
242.5,-nan
242.75,-nan
243,-nan
243.25,-nan
243.5,-nan
243.75,-nan
244,-nan
244.25,-nan
244.5,-nan
244.75,-nan
245,-nan
245.25,-nan
245.5,-nan
245.75,-nan
246,-nan
246.25,-nan
246.5,-nan
246.75,-nan
247,-nan
247.25,-nan
247.5,-nan
247.75,-nan
248,-nan
248.25,-nan
248.5,-nan
248.75,-nan
249,-nan
249.25,-nan
249.5,-nan
249.75,-nan
250,-nan
250.25,-nan
250.5,-nan
250.75,-nan
251,-nan
251.25,-nan
251.5,-nan
251.75,-nan
252,-nan
252.25,-nan
252.5,-nan
252.75,-nan
253,-nan
253.25,-nan
253.5,-nan
253.75,-nan
254,-nan
254.25,-nan
254.5,-nan
254.75,-nan
255,-nan
255.25,-nan
255.5,-nan
255.75,-nan
256,-nan
256.25,-nan
256.5,-nan
256.75,-nan
257,-nan
257.25,-nan
257.5,-nan
257.75,-nan
258,-nan
258.25,-nan
258.5,-nan
258.75,-nan
259,-nan
259.25,-nan
259.5,-nan
259.75,-nan
260,-nan
260.25,-nan
260.5,-nan
260.75,-nan
261,-nan
261.25,-nan
261.5,-nan
261.75,-nan
262,-nan
262.25,-nan
262.5,-nan
262.75,-nan
263,-nan
263.25,-nan
263.5,-nan
263.75,-nan
264,-nan
264.25,-nan
264.5,-nan
264.75,-nan
265,-nan
265.25,-nan
265.5,-nan
265.75,-nan
266,-nan
266.25,-nan
266.5,-nan
266.75,-nan
267,-nan
267.25,-nan
267.5,-nan
267.75,-nan
268,-nan
268.25,-nan
268.5,-nan
268.75,-nan
269,-nan
269.25,-nan
269.5,-nan
269.75,-nan
270,-nan
270.25,-nan
270.5,-nan
270.75,-nan
271,-nan
271.25,-nan
271.5,-nan
271.75,-nan
272,-nan
272.25,-nan
272.5,-nan
272.75,-nan
273,-nan
273.25,-nan
273.5,-nan
273.75,-nan
274,-nan
274.25,-nan
274.5,-nan
274.75,-nan
275,-nan
275.25,-nan
275.5,-nan
275.75,-nan
276,-nan
276.25,-nan
276.5,-nan
276.75,-nan
277,-nan
277.25,-nan
277.5,-nan
277.75,-nan
278,-nan
278.25,-nan
278.5,-nan
278.75,-nan
279,-nan
279.25,-nan
279.5,-nan
279.75,-nan
280,-nan
280.25,-nan
280.5,-nan
280.75,-nan
281,-nan
281.25,-nan
281.5,-nan
281.75,-nan
282,-nan
282.25,-nan
282.5,-nan
282.75,-nan
283,-nan
283.25,-nan
283.5,-nan
283.75,-nan
284,-nan
284.25,-nan
284.5,-nan
284.75,-nan
285,-nan
285.25,-nan
285.5,-nan
285.75,-nan
286,-nan
286.25,-nan
286.5,-nan
286.75,-nan
287,-nan
287.25,-nan
287.5,-nan
287.75,-nan
288,-nan
288.25,-nan
288.5,-nan
288.75,-nan
289,-nan
289.25,-nan
289.5,-nan
289.75,-nan
290,-nan
290.25,-nan
290.5,-nan
290.75,-nan
291,-nan
291.25,-nan
291.5,-nan
291.75,-nan
292,-nan
292.25,-nan
292.5,-nan
292.75,-nan
293,-nan
293.25,-nan
293.5,-nan
293.75,-nan
294,-nan
294.25,-nan
294.5,-nan
294.75,-nan
295,-nan
295.25,-nan
295.5,-nan
295.75,-nan
296,-nan
296.25,-nan
296.5,-nan
296.75,-nan
297,-nan
297.25,-nan
297.5,-nan
297.75,-nan
298,-nan
298.25,-nan
298.5,-nan
298.75,-nan
299,-nan
299.25,-nan
299.5,-nan
299.75,-nan
300,-nan
300.25,-nan
300.5,-nan
300.75,-nan
301,-nan
301.25,-nan
301.5,-nan
301.75,-nan
302,-nan
302.25,-nan
302.5,-nan
302.75,-nan
303,-nan
303.25,-nan
303.5,-nan
303.75,-nan
304,-nan
304.25,-nan
304.5,-nan
304.75,-nan
305,-nan
305.25,-nan
305.5,-nan
305.75,-nan
306,-nan
306.25,-nan
306.5,-nan
306.75,-nan
307,-nan
307.25,-nan
307.5,-nan
307.75,-nan
308,-nan
308.25,-nan
308.5,-nan
308.75,-nan
309,-nan
309.25,-nan
309.5,-nan
309.75,-nan
310,-nan
310.25,-nan
310.5,-nan
310.75,-nan
311,-nan
311.25,-nan
311.5,-nan
311.75,-nan
312,-nan
312.25,-nan
312.5,-nan
312.75,-nan
313,-nan
313.25,-nan
313.5,-nan
313.75,-nan
314,-nan
314.25,-nan
314.5,-nan
314.75,-nan
315,-nan
315.25,-nan
315.5,-nan
315.75,-nan
316,-nan
316.25,-nan
316.5,-nan
316.75,-nan
317,-nan
317.25,-nan
317.5,-nan
317.75,-nan
318,-nan
318.25,-nan
318.5,-nan
318.75,-nan
319,-nan
319.25,-nan
319.5,-nan
319.75,-nan
320,-nan
320.25,-nan
320.5,-nan
320.75,-nan
321,-nan
321.25,-nan
321.5,-nan
321.75,-nan
322,-nan
322.25,-nan
322.5,-nan
322.75,-nan
323,-nan
323.25,-nan
323.5,-nan
323.75,-nan
324,-nan
324.25,-nan
324.5,-nan
324.75,-nan
325,-nan
325.25,-nan
325.5,-nan
325.75,-nan
326,-nan
326.25,-nan
326.5,-nan
326.75,-nan
327,-nan
327.25,-nan
327.5,-nan
327.75,-nan
328,-nan
328.25,-nan
328.5,-nan
328.75,-nan
329,-nan
329.25,-nan
329.5,-nan
329.75,-nan
330,-nan
330.25,-nan
330.5,-nan
330.75,-nan
331,-nan
331.25,-nan
331.5,-nan
331.75,-nan
332,-nan
332.25,-nan
332.5,-nan
332.75,-nan
333,-nan
333.25,-nan
333.5,-nan
333.75,-nan
334,-nan
334.25,-nan
334.5,-nan
334.75,-nan
335,-nan
335.25,-nan
335.5,-nan
335.75,-nan
336,-nan
336.25,-nan
336.5,-nan
336.75,-nan
337,-nan
337.25,-nan
337.5,-nan
337.75,-nan
338,-nan
338.25,-nan
338.5,-nan
338.75,-nan
339,-nan
339.25,-nan
339.5,-nan
339.75,-nan
340,-nan
340.25,-nan
340.5,-nan
340.75,-nan
341,-nan
341.25,-nan
341.5,-nan
341.75,-nan
342,-nan
342.25,-nan
342.5,-nan
342.75,-nan
343,-nan
343.25,-nan
343.5,-nan
343.75,-nan
344,-nan
344.25,-nan
344.5,-nan
344.75,-nan
345,-nan
345.25,-nan
345.5,-nan
345.75,-nan
346,-nan
346.25,-nan
346.5,-nan
346.75,-nan
347,-nan
347.25,-nan
347.5,-nan
347.75,-nan
348,-nan
348.25,-nan
348.5,-nan
348.75,-nan
349,-nan
349.25,-nan
349.5,-nan
349.75,-nan
350,-nan
350.25,-nan
350.5,-nan
350.75,-nan
351,-nan
351.25,-nan
351.5,-nan
351.75,-nan
352,-nan
352.25,-nan
352.5,-nan
352.75,-nan
353,-nan
353.25,-nan
353.5,-nan
353.75,-nan
354,-nan
354.25,-nan
354.5,-nan
354.75,-nan
355,-nan
355.25,-nan
355.5,-nan
355.75,-nan
356,-nan
356.25,-nan
356.5,-nan
356.75,-nan
357,-nan
357.25,-nan
357.5,-nan
357.75,-nan
358,-nan
358.25,-nan
358.5,-nan
358.75,-nan
359,-nan
359.25,-nan
359.5,-nan
359.75,-nan
360,-nan
360.25,-nan
360.5,-nan
360.75,-nan
361,-nan
361.25,-nan
361.5,-nan
361.75,-nan
362,-nan
362.25,-nan
362.5,-nan
362.75,-nan
363,-nan
363.25,-nan
363.5,-nan
363.75,-nan
364,-nan
364.25,-nan
364.5,-nan
364.75,-nan
